id,city,price,area,years_of_construction,number_of_rooms,have_balcony,have_garage,rating,category
133,Marseille,397508,123,2024,3,1,0,3.6999999999999993,medium
134,Paris,444428,32,2024,1,0,0,3.7,high
135,Lyon,557331,80,2016,1,1,0,4.0,high
136,Paris,223554,20,2024,1,0,0,3.7,high
137,Paris,1265580,100,2016,3,0,1,4.3,medium
138,Paris,652854,52,2018,1,0,0,4.0,high
139,Paris,349447,40,2010,1,0,0,3.2,medium
140,Marseille,345527,77,2019,1,0,0,3.3,high
141,Marseille,579461,118,2020,3,0,1,3.8999999999999995,medium
142,Paris,715786,51,2022,2,1,0,4.6,high
143,Marseille,299873,80,2014,1,0,0,2.5,medium
144,Lyon,614933,84,2015,1,1,1,3.7,medium
145,Marseille,443710,117,2023,3,1,0,3.6999999999999993,medium
146,Paris,652233,63,2020,2,0,0,3.8,medium
147,Paris,385244,45,2014,1,0,0,3.2,medium
148,Marseille,343260,101,2009,2,1,1,3.3999999999999995,low
149,Lyon,873232,106,2022,3,1,0,4.6,high
150,Marseille,369107,60,2019,1,0,0,3.3,high
151,Marseille,456521,69,2018,1,0,0,1.0,scam
152,Lyon,305035,67,2023,1,0,0,3.2,medium
153,Lyon,538520,88,2009,1,1,0,3.2,medium
154,Marseille,843200,179,2019,3,1,1,4.199999999999999,medium
155,Lyon,775922,84,2024,1,0,0,1.2000000000000002,scam
156,Lyon,641536,124,2008,3,1,1,4.3,medium
157,Marseille,269760,60,2021,2,1,0,3.3999999999999995,medium
158,Lyon,385251,79,2012,1,1,0,3.2,medium
159,Marseille,606701,127,2020,3,0,0,3.8999999999999995,high
160,Paris,699945,59,2010,2,0,0,4.0,high
161,Marseille,294192,103,2005,3,1,0,2.5999999999999996,low
162,Marseille,351994,82,2020,2,1,0,3.3999999999999995,medium
163,Paris,732803,47,2023,1,0,0,4.0,high
164,Lyon,563443,87,2005,1,1,0,3.4000000000000004,high
165,Paris,550730,50,2023,2,0,0,3.8,medium
166,Paris,680944,77,2011,2,0,0,3.5,medium
167,Lyon,271797,70,2014,1,0,0,2.9000000000000004,medium
168,Paris,924639,76,2021,1,1,0,3.8,medium
169,Lyon,517870,69,2021,1,0,0,3.7,high
170,Paris,592968,58,2006,1,0,0,2.9000000000000004,medium
171,Marseille,626789,120,2022,3,1,0,4.199999999999999,high
172,Paris,292684,34,2011,1,0,0,2.9000000000000004,medium
173,Marseille,463277,86,2015,2,1,0,3.5999999999999996,high
174,Marseille,425624,74,2024,2,1,0,3.8999999999999995,high
175,Paris,777168,79,2011,2,0,0,3.5,medium
176,Marseille,281118,60,2011,2,1,0,3.0999999999999996,medium
177,Marseille,371496,92,2017,2,1,1,3.8999999999999995,medium
178,Lyon,570340,88,2012,2,1,0,4.0,high
179,Marseille,419689,73,2005,2,1,0,3.3,high
180,Lyon,288378,50,2008,1,1,0,3.2,medium
181,Lyon,668725,148,2009,3,1,1,3.8,low
182,Marseille,411174,80,2020,1,0,0,3.3,high
183,Lyon,511529,118,2015,2,1,1,3.8,low
184,Marseille,643357,167,2010,4,1,0,3.6999999999999993,medium
185,Marseille,456283,119,2005,3,0,0,2.8,medium
186,Lyon,728241,93,2023,1,1,0,4.0,high
187,Paris,582016,61,2008,2,0,0,3.5,medium
188,Lyon,497785,85,2015,1,1,1,3.7,medium
189,Lyon,440216,61,2024,2,1,0,4.3,high
190,Paris,770831,64,2019,2,1,0,4.1,medium
191,Marseille,410030,160,2007,3,0,1,2.8,low
192,Marseille,599762,112,2023,3,1,1,4.199999999999999,medium
193,Paris,461227,38,2012,1,0,0,3.4000000000000004,high
194,Marseille,358018,60,2009,2,1,0,3.5999999999999996,high
195,Lyon,337192,86,2005,2,1,1,3.2,low
196,Marseille,460296,126,2011,3,0,1,3.5999999999999996,medium
197,Marseille,283114,71,2010,1,1,0,2.8,medium
198,Paris,614058,52,2018,1,1,0,3.8,medium
199,Paris,281873,20,2022,1,0,0,3.7,high
200,Marseille,539262,102,2016,3,0,0,3.8999999999999995,high
201,Marseille,254882,61,2011,2,0,0,2.8,medium
202,Marseille,527497,78,2021,1,1,0,3.5999999999999996,high
203,Marseille,702882,171,2011,4,1,1,4.199999999999999,medium
204,Lyon,479646,66,2010,2,1,0,4.0,high
205,Lyon,510870,76,2019,2,1,0,4.3,high
206,Lyon,367769,76,2009,2,0,0,3.2,medium
207,Lyon,472221,90,2022,1,0,1,3.7,medium
208,Marseille,607870,119,2011,2,0,0,3.5999999999999996,high
209,Paris,666523,68,2015,2,0,0,3.5,medium
210,Paris,669111,61,2020,1,0,0,3.5,medium
211,Paris,428815,51,2018,1,0,0,3.5,medium
212,Paris,346042,33,2009,1,0,0,2.9000000000000004,medium
213,Lyon,551074,123,2013,2,0,1,3.5,low
214,Paris,731782,62,2022,1,0,0,4.0,high
215,Lyon,263779,52,2013,2,1,0,3.5,medium
216,Paris,737645,59,2014,2,1,0,4.3,high
217,Marseille,316339,85,2018,1,1,0,3.0999999999999996,medium
218,Lyon,315767,50,2018,1,1,0,3.5,medium
219,Lyon,446173,65,2011,2,0,0,3.7,high
220,Marseille,873518,166,2018,4,1,0,4.499999999999999,high
221,Paris,762926,83,2014,1,1,0,3.5,medium
222,Marseille,370831,60,2019,1,0,0,3.3,high
223,Lyon,495982,84,2005,2,0,1,3.4000000000000004,medium
224,Paris,645091,59,2005,2,0,0,3.2,medium
225,Lyon,518356,89,2019,2,1,0,3.8,medium
226,Marseille,311067,76,2014,1,1,0,2.8,medium
227,Marseille,293661,62,2020,2,1,0,3.3999999999999995,medium
228,Marseille,413813,99,2019,2,1,0,3.3999999999999995,medium
229,Lyon,671191,113,2012,2,0,1,4.0,medium
230,Marseille,342420,123,2016,3,1,1,3.6999999999999993,low
231,Marseille,387703,112,2016,2,0,1,3.3999999999999995,low
232,Lyon,269512,69,2005,1,1,0,2.4000000000000004,low
233,Lyon,550948,90,2014,2,0,0,3.7,high
234,Marseille,955692,145,2023,2,1,1,4.699999999999999,high
235,Marseille,297511,88,2011,2,1,0,3.0999999999999996,medium
236,Marseille,255664,60,2010,2,1,0,3.0999999999999996,medium
237,Lyon,274922,69,2018,2,1,0,3.3,low
238,Lyon,566404,85,2023,1,1,0,4.0,high
239,Lyon,257708,55,2020,2,0,0,3.5,medium
240,Lyon,388055,80,2005,2,1,0,3.2,medium
241,Marseille,245777,65,2005,2,0,0,2.5,medium
242,Marseille,696398,121,2023,3,1,0,4.199999999999999,high
243,Paris,354511,41,2015,1,0,0,3.2,medium
244,Lyon,732921,93,2024,2,1,0,4.3,high
245,Marseille,638887,121,2008,2,0,1,4.1,high
246,Paris,1076876,86,2021,1,1,0,4.3,high
247,Paris,718547,59,2022,2,0,0,4.3,high
248,Marseille,413237,155,2005,3,0,1,2.8,low
249,Lyon,545576,105,2011,2,0,0,3.5,medium
250,Lyon,735687,78,2018,1,1,0,4.0,high
251,Marseille,276145,78,2024,1,1,0,3.0999999999999996,medium
252,Paris,356293,36,2020,1,0,0,3.2,medium
253,Marseille,321925,60,2008,2,0,0,3.3,high
254,Lyon,768501,92,2024,1,1,1,4.5,high
255,Lyon,464901,71,2005,2,1,0,3.7,high
256,Lyon,529922,65,2024,2,1,0,4.3,high
257,Marseille,223575,60,2018,1,0,0,2.8,medium
258,Lyon,290443,50,2011,2,0,0,3.7,high
259,Lyon,380461,70,2017,2,1,0,3.8,medium
260,Lyon,364230,98,2024,1,1,1,3.5,low
261,Lyon,483311,64,2016,1,0,0,3.7,high
262,Marseille,326497,67,2009,1,0,0,3.0,high
263,Marseille,347393,83,2008,2,1,0,3.0999999999999996,medium
264,Marseille,582425,156,2008,4,0,0,3.3999999999999995,medium
265,Marseille,438176,86,2020,1,0,1,3.3,medium
266,Lyon,681361,76,2023,2,1,0,4.3,high
267,Lyon,378777,102,2006,3,1,0,3.0,low
268,Paris,615831,50,2015,2,0,0,4.0,high
269,Paris,751176,71,2008,2,0,0,3.5,medium
270,Marseille,258627,60,2005,2,0,0,2.5,medium
271,Marseille,487450,88,2011,2,0,1,3.8,high
272,Paris,1134033,99,2021,1,0,0,4.0,high
273,Marseille,480033,130,2009,2,1,1,3.3999999999999995,low
274,Marseille,470373,95,2024,1,1,0,3.5999999999999996,high
275,Paris,479416,54,2008,1,1,0,3.5,medium
276,Paris,496251,44,2010,1,0,0,3.7,high
277,Paris,484409,73,2006,2,1,0,3.0,low
278,Marseille,314628,103,2015,2,1,1,3.3999999999999995,low
279,Lyon,712039,74,2021,2,1,0,1.8000000000000003,scam
280,Lyon,535334,129,2008,3,1,0,3.3,low
281,Lyon,549693,89,2015,2,0,1,3.7,medium
282,Lyon,333640,70,2019,2,0,0,3.5,medium
283,Lyon,502721,85,2012,2,1,0,3.5,medium
284,Lyon,520611,85,2013,1,1,1,3.7,medium
285,Marseille,230102,74,2016,1,1,0,2.5999999999999996,low
286,Paris,944083,87,2020,1,1,0,3.8,medium
287,Paris,697933,71,2011,1,0,0,3.2,medium
288,Marseille,638065,143,2022,2,0,0,3.8999999999999995,high
289,Marseille,325587,108,2007,3,1,1,3.0999999999999996,low
290,Lyon,491947,79,2008,1,1,0,3.2,medium
291,Marseille,384316,107,2017,2,0,0,3.3999999999999995,medium
292,Paris,410934,54,2008,1,0,0,3.2,medium
293,Lyon,430548,114,2016,2,1,1,4.1,low
294,Paris,891759,83,2006,2,0,0,3.2,medium
295,Lyon,253298,91,2016,1,0,0,2.7,low
296,Marseille,500068,125,2024,3,0,1,3.8999999999999995,medium
297,Marseille,853205,180,2012,4,1,0,3.6999999999999993,medium
298,Marseille,599415,169,2005,3,0,0,2.8,medium
299,Lyon,196524,64,2012,1,0,0,2.4000000000000004,low
300,Marseille,222023,60,2009,2,0,0,2.8,medium
301,Marseille,449362,107,2011,3,0,1,3.5999999999999996,medium
302,Paris,763993,68,2018,1,0,0,4.0,high
303,Marseille,340547,60,2014,1,0,0,3.0,high
304,Lyon,745754,103,2019,2,1,0,4.6,high
305,Marseille,457512,80,2016,2,1,0,3.8999999999999995,high
306,Paris,698346,68,2009,2,0,0,3.5,medium
307,Marseille,312440,60,2020,1,1,0,3.5999999999999996,high
308,Marseille,660723,162,2012,3,1,0,3.3999999999999995,medium
309,Paris,586700,68,2022,2,0,0,3.8,medium
310,Paris,255778,22,2011,1,0,0,3.4000000000000004,high
311,Paris,401660,46,2008,1,0,0,3.2,medium
312,Paris,887999,65,2018,1,1,0,4.3,high
313,Lyon,686171,110,2011,3,1,1,4.3,medium
314,Lyon,430755,80,2018,1,1,0,3.5,medium
315,Marseille,781560,171,2023,4,0,1,4.199999999999999,medium
316,Lyon,454025,77,2012,1,1,0,3.2,medium
317,Paris,601725,49,2023,1,0,0,4.0,high
318,Paris,457380,47,2015,1,0,0,3.2,medium
319,Lyon,327318,52,2015,1,0,0,3.4000000000000004,high
320,Lyon,336564,51,2006,1,0,0,3.1000000000000005,high
321,Paris,917657,69,2024,2,0,0,4.3,high
322,Paris,893161,58,2022,1,0,0,4.0,high
323,Lyon,401915,93,2010,2,0,0,3.2,medium
324,Lyon,385591,50,2022,2,0,0,4.0,high
325,Marseille,230445,60,2017,2,0,0,3.0999999999999996,medium
326,Marseille,288729,60,2022,2,0,0,3.5999999999999996,high
327,Lyon,296143,68,2009,2,0,0,3.2,medium
328,Marseille,222316,60,2017,2,1,0,3.3999999999999995,medium
329,Marseille,314803,60,2024,2,1,0,3.8999999999999995,high
330,Paris,306320,30,2008,1,0,0,2.9000000000000004,medium
331,Lyon,560503,98,2023,2,0,0,3.5,medium
332,Paris,656524,58,2009,2,0,0,4.0,high
333,Lyon,762177,98,2012,2,1,1,4.5,high
334,Lyon,650852,91,2024,1,1,1,4.0,medium
335,Marseille,694551,180,2005,4,0,1,3.5999999999999996,medium
336,Lyon,576612,107,2013,2,0,1,4.0,medium
337,Paris,286965,32,2007,1,0,0,2.6000000000000005,medium
338,Lyon,210090,53,2009,1,0,0,2.9000000000000004,medium
339,Marseille,406483,87,2015,2,0,1,3.3,medium
340,Lyon,333012,83,2006,2,1,0,2.7,low
341,Paris,849564,69,2019,1,0,0,4.0,high
342,Marseille,362693,60,2020,2,0,0,3.5999999999999996,high
343,Marseille,447964,98,2024,1,1,0,3.0999999999999996,medium
344,Lyon,487246,82,2022,2,1,1,4.3,medium
345,Paris,753781,70,2023,2,0,0,3.8,medium
346,Paris,901798,91,2012,1,0,0,3.2,medium
347,Marseille,184480,60,2011,2,1,0,2.5999999999999996,low
348,Marseille,237533,60,2009,2,0,0,2.8,medium
349,Marseille,415192,111,2009,2,1,0,3.3999999999999995,medium
350,Marseille,541112,126,2012,2,1,1,3.8999999999999995,medium
351,Paris,552770,47,2005,1,0,0,3.4000000000000004,high
352,Marseille,897994,120,2024,3,0,1,4.3999999999999995,high
353,Marseille,260252,68,2015,1,0,0,2.5,medium
354,Marseille,803005,117,2023,2,1,1,4.699999999999999,high
355,Marseille,651406,106,2017,3,1,0,4.199999999999999,high
356,Lyon,146020,50,2007,2,0,0,2.4000000000000004,low
357,Paris,955970,79,2008,1,0,0,3.7,high
358,Marseille,676175,131,2022,2,1,1,4.199999999999999,medium
359,Marseille,573788,101,2024,3,1,0,4.199999999999999,high
360,Paris,555362,41,2019,1,0,0,4.0,high
361,Marseille,722357,180,2019,4,1,0,3.999999999999999,medium
362,Marseille,686480,130,2015,2,0,1,4.1,high
363,Paris,535236,51,2010,1,1,0,3.5,medium
364,Marseille,594041,180,2008,4,0,0,3.3999999999999995,medium
365,Lyon,282070,50,2009,1,0,0,2.9000000000000004,medium
366,Lyon,671422,79,2019,1,1,0,4.0,high
367,Paris,711323,68,2009,2,1,0,3.8,medium
368,Lyon,692096,93,2020,1,1,1,4.0,medium
369,Marseille,678966,161,2016,4,0,0,3.6999999999999993,medium
370,Marseille,306513,98,2009,2,0,0,2.8,medium
371,Marseille,720229,180,2009,4,0,0,3.3999999999999995,medium
372,Lyon,664025,120,2020,2,0,0,3.8,medium
373,Marseille,559245,123,2010,2,0,1,3.5999999999999996,medium
374,Paris,748345,54,2016,2,1,0,4.6,high
375,Marseille,582492,114,2019,3,1,1,4.199999999999999,medium
376,Lyon,387151,51,2024,2,1,0,4.3,high
377,Lyon,278542,50,2010,2,1,0,3.5,medium
378,Paris,275722,30,2008,1,0,0,2.9000000000000004,medium
379,Paris,414240,38,2005,1,0,0,2.6000000000000005,medium
380,Marseille,427423,90,2016,2,1,1,3.8999999999999995,medium
381,Lyon,716025,120,2016,2,0,0,4.3,high
382,Marseille,320810,90,2009,2,1,0,3.0999999999999996,medium
383,Paris,588541,60,2012,2,0,0,3.5,medium
384,Marseille,630872,138,2022,3,1,0,3.6999999999999993,medium
385,Paris,569083,48,2017,1,0,0,4.0,high
386,Marseille,899287,164,2024,4,1,1,4.499999999999999,medium
387,Paris,752787,63,2016,2,0,0,4.3,high
388,Marseille,512140,116,2006,3,0,1,3.3,medium
389,Marseille,544396,104,2020,2,1,0,4.199999999999999,high
390,Marseille,260441,88,2017,1,0,0,2.8,medium
391,Marseille,364821,66,2021,1,1,0,3.5999999999999996,high
392,Marseille,410773,95,2014,2,1,1,3.5999999999999996,medium
393,Paris,1137728,90,2013,2,1,0,4.3,high
394,Paris,265613,20,2024,1,0,0,3.7,high
395,Paris,1052930,88,2018,2,0,0,4.3,high
396,Paris,318457,36,2005,1,0,0,2.6000000000000005,medium
397,Paris,353359,44,2010,1,0,0,3.2,medium
398,Lyon,479176,71,2021,1,1,0,4.0,high
399,Paris,828105,94,2011,1,0,0,3.2,medium
400,Marseille,377261,147,2007,2,1,1,3.0999999999999996,low
401,Paris,767108,79,2011,2,0,0,3.5,medium
402,Paris,1061103,87,2017,1,0,0,4.0,high
403,Lyon,217195,72,2018,2,1,0,3.3,low
404,Marseille,418499,84,2007,2,0,1,3.0,medium
405,Marseille,688519,130,2018,2,1,0,4.199999999999999,high
406,Paris,949116,78,2022,2,0,0,4.3,high
407,Paris,359828,37,2017,1,0,0,3.2,medium
408,Paris,1100403,91,2020,2,1,0,4.1,medium
409,Paris,321460,28,2021,1,0,0,3.7,high
410,Paris,433213,52,2007,1,0,0,2.9000000000000004,medium
411,Paris,293284,20,2014,1,0,0,3.4000000000000004,high
412,Marseille,382947,82,2008,1,1,1,3.3,medium
413,Lyon,761650,126,2015,3,1,0,3.8,medium
414,Lyon,522976,119,2020,2,1,1,4.1,low
415,Paris,908743,70,2013,2,0,0,4.0,high
416,Paris,704477,71,2020,1,0,0,3.5,medium
417,Lyon,602553,122,2014,3,0,1,4.0,medium
418,Lyon,632645,97,2009,1,1,0,3.7,high
419,Lyon,340177,50,2020,2,0,0,4.0,high
420,Lyon,491954,75,2022,1,0,0,3.7,high
421,Paris,463650,49,2009,1,0,0,3.2,medium
422,Lyon,274475,58,2008,1,0,0,2.9000000000000004,medium
423,Marseille,479758,106,2021,3,0,0,3.8999999999999995,high
424,Marseille,571188,84,2021,2,1,0,3.8999999999999995,high
425,Paris,443785,50,2015,1,0,0,3.2,medium
426,Lyon,512524,63,2017,2,0,0,4.0,high
427,Marseille,532262,145,2005,3,0,0,2.8,medium
428,Marseille,346446,105,2017,2,1,1,3.6999999999999993,low
429,Paris,1025697,78,2024,2,1,0,4.6,high
430,Lyon,361622,59,2012,1,1,0,3.2,medium
431,Lyon,576045,103,2023,3,1,0,4.1,medium
432,Lyon,603640,82,2022,1,0,0,3.7,high
433,Lyon,139152,50,2017,1,1,0,3.0,low
434,Lyon,294871,50,2014,1,0,0,3.4000000000000004,high
435,Marseille,581929,123,2019,3,1,1,4.199999999999999,medium
436,Paris,846706,65,2021,1,0,0,4.0,high
437,Marseille,330200,88,2007,2,1,1,2.8,low
438,Marseille,286552,115,2021,2,1,1,3.6999999999999993,low
439,Marseille,272753,60,2018,2,0,0,3.5999999999999996,high
440,Lyon,602846,112,2014,3,0,1,4.0,medium
441,Paris,762509,64,2020,2,0,0,4.3,high
442,Marseille,265151,86,2007,1,1,0,1.9999999999999998,low
443,Lyon,605815,85,2020,2,1,0,4.3,high
444,Lyon,220208,50,2011,1,1,0,3.2,medium
445,Lyon,223179,50,2005,2,0,0,2.9000000000000004,medium
446,Marseille,371617,87,2008,1,0,1,3.0,medium
447,Lyon,429653,114,2009,2,0,0,3.0,low
448,Lyon,241305,91,2015,1,1,0,2.7,low
449,Paris,278257,24,2013,1,0,0,3.4000000000000004,high
450,Paris,742882,73,2015,2,1,0,3.8,medium
451,Lyon,371999,52,2006,2,0,0,3.4000000000000004,high
452,Marseille,629268,126,2024,2,1,1,4.199999999999999,medium
453,Marseille,330480,134,2010,2,0,0,2.5999999999999996,low
454,Marseille,863074,167,2013,3,0,0,3.5999999999999996,high
455,Marseille,261814,60,2018,2,0,0,3.0999999999999996,medium
456,Paris,610372,73,2005,2,0,0,3.2,medium
457,Marseille,399552,85,2013,2,1,0,3.0999999999999996,medium
458,Lyon,351156,58,2022,2,0,0,4.0,high
459,Marseille,224334,60,2006,2,0,0,2.5,medium
460,Paris,792172,54,2024,2,0,0,4.3,high
461,Marseille,312227,73,2010,2,1,0,3.0999999999999996,medium
462,Lyon,598538,114,2016,3,1,0,4.1,medium
463,Lyon,471873,69,2017,2,0,0,4.0,high
464,Lyon,258701,70,2007,1,0,0,2.1000000000000005,low
465,Paris,263686,31,2017,1,0,0,3.2,medium
466,Lyon,1317782,150,2019,3,1,0,4.6,high
467,Paris,1503624,89,2020,2,0,0,1.8,scam
468,Lyon,699269,84,2010,2,0,1,4.2,high
469,Lyon,360695,88,2006,2,0,0,2.9000000000000004,medium
470,Paris,504762,57,2010,1,0,0,3.2,medium
471,Lyon,298151,73,2009,1,1,0,2.7,low
472,Marseille,346188,115,2007,3,1,0,2.5999999999999996,low
473,Lyon,1051886,118,2024,2,1,0,4.6,high
474,Paris,928695,76,2014,1,0,0,3.7,high
475,Lyon,389346,66,2016,2,0,0,4.0,high
476,Marseille,681672,153,2022,3,0,1,3.8999999999999995,medium
477,Paris,795549,86,2010,2,0,0,3.5,medium
478,Lyon,273407,64,2010,1,0,0,2.9000000000000004,medium
479,Marseille,316981,105,2013,3,0,0,3.0999999999999996,medium
