id,city,number_of_rooms,area,price,years_of_construction,have_balcony,have_garage,rating,category
68,Marseille,2,119,635501,2019,0,0,3.8999999999999995,high
69,Lyon,3,109,676765,2023,1,1,4.6,medium
70,Paris,2,79,1074114,2019,1,0,4.6,high
71,Paris,2,73,884165,2020,0,0,4.3,high
72,Lyon,1,65,366096,2023,0,0,3.2,medium
73,Lyon,2,64,538866,2017,1,0,4.3,high
74,Paris,1,46,519525,2024,0,0,4.0,high
75,Paris,2,50,684379,2018,0,0,4.3,high
76,Lyon,3,134,1111497,2023,0,1,4.8,high
77,Lyon,2,63,435529,2024,1,0,4.3,high
78,Marseille,1,94,422053,2006,1,0,2.5,medium
79,Marseille,1,74,315034,2011,1,0,2.8,medium
80,Marseille,3,158,711051,2005,1,0,3.0999999999999996,medium
81,Paris,2,74,908478,2014,0,0,4.0,high
82,Lyon,3,125,1079862,2023,1,0,4.6,high
83,Lyon,2,83,638182,2020,0,1,4.5,high
84,Marseille,1,60,242659,2010,1,0,2.8,medium
85,Paris,2,74,634809,2005,0,0,3.2,medium
86,Marseille,2,86,477952,2021,1,0,3.8999999999999995,high
87,Lyon,1,62,437932,2010,0,0,3.4000000000000004,high
88,Lyon,2,50,290465,2007,1,0,3.2,medium
89,Paris,1,50,465962,2013,0,0,3.2,medium
90,Lyon,3,132,716949,2010,1,1,4.3,medium
91,Marseille,1,89,340895,2022,1,0,3.0999999999999996,medium
92,Lyon,1,79,356790,2019,1,0,3.5,medium
93,Paris,2,59,625380,2008,0,0,3.5,medium
94,Marseille,1,85,259607,2020,1,1,3.0999999999999996,low
95,Paris,1,46,592845,2023,0,0,4.0,high
96,Marseille,2,83,340459,2014,0,0,2.8,medium
97,Paris,1,65,566185,2012,0,0,3.2,medium
98,Paris,1,79,690351,2011,0,0,3.2,medium
99,Paris,1,55,483798,2011,1,0,3.5,medium
100,Lyon,1,94,604314,2017,0,1,3.7,medium
101,Marseille,2,79,279304,2022,1,0,3.3999999999999995,medium
102,Marseille,3,165,547954,2017,0,0,3.3999999999999995,medium
103,Marseille,2,60,248530,2006,0,0,2.5,medium
104,Marseille,3,115,372888,2007,1,0,3.0999999999999996,medium
105,Paris,2,56,567383,2014,1,0,3.8,medium
106,Paris,1,47,327122,2009,0,0,2.7,low
107,Paris,1,87,856306,2014,0,0,3.2,medium
108,Paris,2,66,613663,2005,1,0,3.5,medium
109,Lyon,2,50,404482,2019,0,0,4.0,high
110,Lyon,2,87,449052,2008,1,0,3.5,medium
111,Paris,1,47,475724,2016,0,0,3.5,medium
112,Lyon,2,84,393667,2021,0,1,4.0,medium
113,Lyon,1,50,286624,2016,0,0,3.2,medium
114,Marseille,1,98,601400,2023,1,1,4.1,high
115,Lyon,1,92,429251,2007,1,1,2.9000000000000004,low
116,Lyon,2,57,339204,2021,0,0,4.0,high
117,Paris,1,44,518339,2010,0,0,3.7,high
118,Marseille,2,80,442682,2023,1,0,3.8999999999999995,high
119,Paris,1,47,583440,2022,0,0,4.0,high
120,Paris,2,54,602362,2006,0,0,3.7,high
121,Marseille,3,130,419844,2019,1,0,3.6999999999999993,medium
122,Lyon,2,84,322468,2005,1,1,3.2,low
123,Marseille,2,80,291958,2005,1,0,2.8,medium
124,Marseille,1,77,297055,2021,0,0,2.8,medium
125,Paris,2,69,826315,2011,1,0,3.8,medium
126,Paris,1,25,194427,2012,0,0,2.9000000000000004,medium
127,Marseille,2,103,521492,2016,0,0,3.8999999999999995,high
128,Lyon,1,55,307515,2017,0,0,3.2,medium
129,Paris,1,68,815320,2017,0,0,4.0,high
130,Marseille,3,122,603791,2010,1,0,3.8999999999999995,high
131,Marseille,2,123,406465,2012,1,1,3.3999999999999995,low
132,Paris,1,56,814296,2018,0,0,4.0,high
133,Marseille,3,123,397508,2024,1,0,3.6999999999999993,medium
134,Paris,1,32,444428,2024,0,0,3.7,high
135,Lyon,1,80,557331,2016,1,0,4.0,high
136,Paris,1,20,223554,2024,0,0,3.7,high
137,Paris,3,100,1265580,2016,0,1,4.3,medium
138,Paris,1,52,652854,2018,0,0,4.0,high
139,Paris,1,40,349447,2010,0,0,3.2,medium
140,Marseille,1,77,345527,2019,0,0,3.3,high
141,Marseille,3,118,579461,2020,0,1,3.8999999999999995,medium
142,Paris,2,51,715786,2022,1,0,4.6,high
143,Marseille,1,80,299873,2014,0,0,2.5,medium
144,Lyon,1,84,614933,2015,1,1,3.7,medium
145,Marseille,3,117,443710,2023,1,0,3.6999999999999993,medium
146,Paris,2,63,652233,2020,0,0,3.8,medium
147,Paris,1,45,385244,2014,0,0,3.2,medium
148,Marseille,2,101,343260,2009,1,1,3.3999999999999995,low
149,Lyon,3,106,873232,2022,1,0,4.6,high
150,Marseille,1,60,369107,2019,0,0,3.3,high
151,Marseille,1,69,456521,2018,0,0,1.0,scam
152,Lyon,1,67,305035,2023,0,0,3.2,medium
153,Lyon,1,88,538520,2009,1,0,3.2,medium
154,Marseille,3,179,843200,2019,1,1,4.199999999999999,medium
155,Lyon,1,84,775922,2024,0,0,1.2000000000000002,scam
156,Lyon,3,124,641536,2008,1,1,4.3,medium
157,Marseille,2,60,269760,2021,1,0,3.3999999999999995,medium
158,Lyon,1,79,385251,2012,1,0,3.2,medium
159,Marseille,3,127,606701,2020,0,0,3.8999999999999995,high
160,Paris,2,59,699945,2010,0,0,4.0,high
161,Marseille,3,103,294192,2005,1,0,2.5999999999999996,low
162,Marseille,2,82,351994,2020,1,0,3.3999999999999995,medium
163,Paris,1,47,732803,2023,0,0,4.0,high
164,Lyon,1,87,563443,2005,1,0,3.4000000000000004,high
165,Paris,2,50,550730,2023,0,0,3.8,medium
166,Paris,2,77,680944,2011,0,0,3.5,medium
167,Lyon,1,70,271797,2014,0,0,2.9000000000000004,medium
168,Paris,1,76,924639,2021,1,0,3.8,medium
169,Lyon,1,69,517870,2021,0,0,3.7,high
170,Paris,1,58,592968,2006,0,0,2.9000000000000004,medium
171,Marseille,3,120,626789,2022,1,0,4.199999999999999,high
172,Paris,1,34,292684,2011,0,0,2.9000000000000004,medium
173,Marseille,2,86,463277,2015,1,0,3.5999999999999996,high
174,Marseille,2,74,425624,2024,1,0,3.8999999999999995,high
175,Paris,2,79,777168,2011,0,0,3.5,medium
176,Marseille,2,60,281118,2011,1,0,3.0999999999999996,medium
177,Marseille,2,92,371496,2017,1,1,3.8999999999999995,medium
178,Lyon,2,88,570340,2012,1,0,4.0,high
179,Marseille,2,73,419689,2005,1,0,3.3,high
180,Lyon,1,50,288378,2008,1,0,3.2,medium
181,Lyon,3,148,668725,2009,1,1,3.8,low
182,Marseille,1,80,411174,2020,0,0,3.3,high
183,Lyon,2,118,511529,2015,1,1,3.8,low
184,Marseille,4,167,643357,2010,1,0,3.6999999999999993,medium
185,Marseille,3,119,456283,2005,0,0,2.8,medium
186,Lyon,1,93,728241,2023,1,0,4.0,high
187,Paris,2,61,582016,2008,0,0,3.5,medium
188,Lyon,1,85,497785,2015,1,1,3.7,medium
189,Lyon,2,61,440216,2024,1,0,4.3,high
190,Paris,2,64,770831,2019,1,0,4.1,medium
191,Marseille,3,160,410030,2007,0,1,2.8,low
192,Marseille,3,112,599762,2023,1,1,4.199999999999999,medium
193,Paris,1,38,461227,2012,0,0,3.4000000000000004,high
194,Marseille,2,60,358018,2009,1,0,3.5999999999999996,high
195,Lyon,2,86,337192,2005,1,1,3.2,low
196,Marseille,3,126,460296,2011,0,1,3.5999999999999996,medium
197,Marseille,1,71,283114,2010,1,0,2.8,medium
198,Paris,1,52,614058,2018,1,0,3.8,medium
199,Paris,1,20,281873,2022,0,0,3.7,high
200,Marseille,3,102,539262,2016,0,0,3.8999999999999995,high
201,Marseille,2,61,254882,2011,0,0,2.8,medium
202,Marseille,1,78,527497,2021,1,0,3.5999999999999996,high
203,Marseille,4,171,702882,2011,1,1,4.199999999999999,medium
204,Lyon,2,66,479646,2010,1,0,4.0,high
205,Lyon,2,76,510870,2019,1,0,4.3,high
206,Lyon,2,76,367769,2009,0,0,3.2,medium
207,Lyon,1,90,472221,2022,0,1,3.7,medium
208,Marseille,2,119,607870,2011,0,0,3.5999999999999996,high
209,Paris,2,68,666523,2015,0,0,3.5,medium
210,Paris,1,61,669111,2020,0,0,3.5,medium
211,Paris,1,51,428815,2018,0,0,3.5,medium
212,Paris,1,33,346042,2009,0,0,2.9000000000000004,medium
213,Lyon,2,123,551074,2013,0,1,3.5,low
214,Paris,1,62,731782,2022,0,0,4.0,high
215,Lyon,2,52,263779,2013,1,0,3.5,medium
216,Paris,2,59,737645,2014,1,0,4.3,high
217,Marseille,1,85,316339,2018,1,0,3.0999999999999996,medium
218,Lyon,1,50,315767,2018,1,0,3.5,medium
219,Lyon,2,65,446173,2011,0,0,3.7,high
220,Marseille,4,166,873518,2018,1,0,4.499999999999999,high
221,Paris,1,83,762926,2014,1,0,3.5,medium
222,Marseille,1,60,370831,2019,0,0,3.3,high
223,Lyon,2,84,495982,2005,0,1,3.4000000000000004,medium
224,Paris,2,59,645091,2005,0,0,3.2,medium
225,Lyon,2,89,518356,2019,1,0,3.8,medium
226,Marseille,1,76,311067,2014,1,0,2.8,medium
227,Marseille,2,62,293661,2020,1,0,3.3999999999999995,medium
228,Marseille,2,99,413813,2019,1,0,3.3999999999999995,medium
229,Lyon,2,113,671191,2012,0,1,4.0,medium
230,Marseille,3,123,342420,2016,1,1,3.6999999999999993,low
231,Marseille,2,112,387703,2016,0,1,3.3999999999999995,low
232,Lyon,1,69,269512,2005,1,0,2.4000000000000004,low
233,Lyon,2,90,550948,2014,0,0,3.7,high
234,Marseille,2,145,955692,2023,1,1,4.699999999999999,high
235,Marseille,2,88,297511,2011,1,0,3.0999999999999996,medium
236,Marseille,2,60,255664,2010,1,0,3.0999999999999996,medium
237,Lyon,2,69,274922,2018,1,0,3.3,low
238,Lyon,1,85,566404,2023,1,0,4.0,high
239,Lyon,2,55,257708,2020,0,0,3.5,medium
240,Lyon,2,80,388055,2005,1,0,3.2,medium
241,Marseille,2,65,245777,2005,0,0,2.5,medium
242,Marseille,3,121,696398,2023,1,0,4.199999999999999,high
243,Paris,1,41,354511,2015,0,0,3.2,medium
244,Lyon,2,93,732921,2024,1,0,4.3,high
245,Marseille,2,121,638887,2008,0,1,4.1,high
246,Paris,1,86,1076876,2021,1,0,4.3,high
247,Paris,2,59,718547,2022,0,0,4.3,high
248,Marseille,3,155,413237,2005,0,1,2.8,low
249,Lyon,2,105,545576,2011,0,0,3.5,medium
250,Lyon,1,78,735687,2018,1,0,4.0,high
251,Marseille,1,78,276145,2024,1,0,3.0999999999999996,medium
252,Paris,1,36,356293,2020,0,0,3.2,medium
253,Marseille,2,60,321925,2008,0,0,3.3,high
254,Lyon,1,92,768501,2024,1,1,4.5,high
255,Lyon,2,71,464901,2005,1,0,3.7,high
256,Lyon,2,65,529922,2024,1,0,4.3,high
257,Marseille,1,60,223575,2018,0,0,2.8,medium
258,Lyon,2,50,290443,2011,0,0,3.7,high
259,Lyon,2,70,380461,2017,1,0,3.8,medium
260,Lyon,1,98,364230,2024,1,1,3.5,low
261,Lyon,1,64,483311,2016,0,0,3.7,high
262,Marseille,1,67,326497,2009,0,0,3.0,high
263,Marseille,2,83,347393,2008,1,0,3.0999999999999996,medium
264,Marseille,4,156,582425,2008,0,0,3.3999999999999995,medium
265,Marseille,1,86,438176,2020,0,1,3.3,medium
266,Lyon,2,76,681361,2023,1,0,4.3,high
267,Lyon,3,102,378777,2006,1,0,3.0,low
268,Paris,2,50,615831,2015,0,0,4.0,high
269,Paris,2,71,751176,2008,0,0,3.5,medium
270,Marseille,2,60,258627,2005,0,0,2.5,medium
271,Marseille,2,88,487450,2011,0,1,3.8,high
272,Paris,1,99,1134033,2021,0,0,4.0,high
273,Marseille,2,130,480033,2009,1,1,3.3999999999999995,low
274,Marseille,1,95,470373,2024,1,0,3.5999999999999996,high
275,Paris,1,54,479416,2008,1,0,3.5,medium
276,Paris,1,44,496251,2010,0,0,3.7,high
277,Paris,2,73,484409,2006,1,0,3.0,low
278,Marseille,2,103,314628,2015,1,1,3.3999999999999995,low
279,Lyon,2,74,712039,2021,1,0,1.8000000000000003,scam
280,Lyon,3,129,535334,2008,1,0,3.3,low
281,Lyon,2,89,549693,2015,0,1,3.7,medium
282,Lyon,2,70,333640,2019,0,0,3.5,medium
283,Lyon,2,85,502721,2012,1,0,3.5,medium
284,Lyon,1,85,520611,2013,1,1,3.7,medium
285,Marseille,1,74,230102,2016,1,0,2.5999999999999996,low
286,Paris,1,87,944083,2020,1,0,3.8,medium
287,Paris,1,71,697933,2011,0,0,3.2,medium
288,Marseille,2,143,638065,2022,0,0,3.8999999999999995,high
289,Marseille,3,108,325587,2007,1,1,3.0999999999999996,low
290,Lyon,1,79,491947,2008,1,0,3.2,medium
291,Marseille,2,107,384316,2017,0,0,3.3999999999999995,medium
292,Paris,1,54,410934,2008,0,0,3.2,medium
293,Lyon,2,114,430548,2016,1,1,4.1,low
294,Paris,2,83,891759,2006,0,0,3.2,medium
295,Lyon,1,91,253298,2016,0,0,2.7,low
296,Marseille,3,125,500068,2024,0,1,3.8999999999999995,medium
297,Marseille,4,180,853205,2012,1,0,3.6999999999999993,medium
298,Marseille,3,169,599415,2005,0,0,2.8,medium
299,Lyon,1,64,196524,2012,0,0,2.4000000000000004,low
300,Marseille,2,60,222023,2009,0,0,2.8,medium
301,Marseille,3,107,449362,2011,0,1,3.5999999999999996,medium
302,Paris,1,68,763993,2018,0,0,4.0,high
303,Marseille,1,60,340547,2014,0,0,3.0,high
304,Lyon,2,103,745754,2019,1,0,4.6,high
305,Marseille,2,80,457512,2016,1,0,3.8999999999999995,high
306,Paris,2,68,698346,2009,0,0,3.5,medium
307,Marseille,1,60,312440,2020,1,0,3.5999999999999996,high
308,Marseille,3,162,660723,2012,1,0,3.3999999999999995,medium
309,Paris,2,68,586700,2022,0,0,3.8,medium
310,Paris,1,22,255778,2011,0,0,3.4000000000000004,high
311,Paris,1,46,401660,2008,0,0,3.2,medium
312,Paris,1,65,887999,2018,1,0,4.3,high
313,Lyon,3,110,686171,2011,1,1,4.3,medium
314,Lyon,1,80,430755,2018,1,0,3.5,medium
315,Marseille,4,171,781560,2023,0,1,4.199999999999999,medium
316,Lyon,1,77,454025,2012,1,0,3.2,medium
317,Paris,1,49,601725,2023,0,0,4.0,high
318,Paris,1,47,457380,2015,0,0,3.2,medium
319,Lyon,1,52,327318,2015,0,0,3.4000000000000004,high
320,Lyon,1,51,336564,2006,0,0,3.1000000000000005,high
321,Paris,2,69,917657,2024,0,0,4.3,high
322,Paris,1,58,893161,2022,0,0,4.0,high
323,Lyon,2,93,401915,2010,0,0,3.2,medium
324,Lyon,2,50,385591,2022,0,0,4.0,high
325,Marseille,2,60,230445,2017,0,0,3.0999999999999996,medium
326,Marseille,2,60,288729,2022,0,0,3.5999999999999996,high
327,Lyon,2,68,296143,2009,0,0,3.2,medium
328,Marseille,2,60,222316,2017,1,0,3.3999999999999995,medium
329,Marseille,2,60,314803,2024,1,0,3.8999999999999995,high
330,Paris,1,30,306320,2008,0,0,2.9000000000000004,medium
331,Lyon,2,98,560503,2023,0,0,3.5,medium
332,Paris,2,58,656524,2009,0,0,4.0,high
333,Lyon,2,98,762177,2012,1,1,4.5,high
334,Lyon,1,91,650852,2024,1,1,4.0,medium
335,Marseille,4,180,694551,2005,0,1,3.5999999999999996,medium
336,Lyon,2,107,576612,2013,0,1,4.0,medium
337,Paris,1,32,286965,2007,0,0,2.6000000000000005,medium
338,Lyon,1,53,210090,2009,0,0,2.9000000000000004,medium
339,Marseille,2,87,406483,2015,0,1,3.3,medium
340,Lyon,2,83,333012,2006,1,0,2.7,low
341,Paris,1,69,849564,2019,0,0,4.0,high
342,Marseille,2,60,362693,2020,0,0,3.5999999999999996,high
343,Marseille,1,98,447964,2024,1,0,3.0999999999999996,medium
344,Lyon,2,82,487246,2022,1,1,4.3,medium
345,Paris,2,70,753781,2023,0,0,3.8,medium
346,Paris,1,91,901798,2012,0,0,3.2,medium
347,Marseille,2,60,184480,2011,1,0,2.5999999999999996,low
348,Marseille,2,60,237533,2009,0,0,2.8,medium
349,Marseille,2,111,415192,2009,1,0,3.3999999999999995,medium
350,Marseille,2,126,541112,2012,1,1,3.8999999999999995,medium
351,Paris,1,47,552770,2005,0,0,3.4000000000000004,high
352,Marseille,3,120,897994,2024,0,1,4.3999999999999995,high
353,Marseille,1,68,260252,2015,0,0,2.5,medium
354,Marseille,2,117,803005,2023,1,1,4.699999999999999,high
355,Marseille,3,106,651406,2017,1,0,4.199999999999999,high
356,Lyon,2,50,146020,2007,0,0,2.4000000000000004,low
357,Paris,1,79,955970,2008,0,0,3.7,high
358,Marseille,2,131,676175,2022,1,1,4.199999999999999,medium
359,Marseille,3,101,573788,2024,1,0,4.199999999999999,high
360,Paris,1,41,555362,2019,0,0,4.0,high
361,Marseille,4,180,722357,2019,1,0,3.999999999999999,medium
362,Marseille,2,130,686480,2015,0,1,4.1,high
363,Paris,1,51,535236,2010,1,0,3.5,medium
364,Marseille,4,180,594041,2008,0,0,3.3999999999999995,medium
365,Lyon,1,50,282070,2009,0,0,2.9000000000000004,medium
366,Lyon,1,79,671422,2019,1,0,4.0,high
367,Paris,2,68,711323,2009,1,0,3.8,medium
368,Lyon,1,93,692096,2020,1,1,4.0,medium
369,Marseille,4,161,678966,2016,0,0,3.6999999999999993,medium
370,Marseille,2,98,306513,2009,0,0,2.8,medium
371,Marseille,4,180,720229,2009,0,0,3.3999999999999995,medium
372,Lyon,2,120,664025,2020,0,0,3.8,medium
373,Marseille,2,123,559245,2010,0,1,3.5999999999999996,medium
374,Paris,2,54,748345,2016,1,0,4.6,high
375,Marseille,3,114,582492,2019,1,1,4.199999999999999,medium
376,Lyon,2,51,387151,2024,1,0,4.3,high
377,Lyon,2,50,278542,2010,1,0,3.5,medium
378,Paris,1,30,275722,2008,0,0,2.9000000000000004,medium
379,Paris,1,38,414240,2005,0,0,2.6000000000000005,medium
380,Marseille,2,90,427423,2016,1,1,3.8999999999999995,medium
381,Lyon,2,120,716025,2016,0,0,4.3,high
382,Marseille,2,90,320810,2009,1,0,3.0999999999999996,medium
383,Paris,2,60,588541,2012,0,0,3.5,medium
384,Marseille,3,138,630872,2022,1,0,3.6999999999999993,medium
385,Paris,1,48,569083,2017,0,0,4.0,high
386,Marseille,4,164,899287,2024,1,1,4.499999999999999,medium
387,Paris,2,63,752787,2016,0,0,4.3,high
388,Marseille,3,116,512140,2006,0,1,3.3,medium
389,Marseille,2,104,544396,2020,1,0,4.199999999999999,high
390,Marseille,1,88,260441,2017,0,0,2.8,medium
391,Marseille,1,66,364821,2021,1,0,3.5999999999999996,high
392,Marseille,2,95,410773,2014,1,1,3.5999999999999996,medium
393,Paris,2,90,1137728,2013,1,0,4.3,high
394,Paris,1,20,265613,2024,0,0,3.7,high
395,Paris,2,88,1052930,2018,0,0,4.3,high
396,Paris,1,36,318457,2005,0,0,2.6000000000000005,medium
397,Paris,1,44,353359,2010,0,0,3.2,medium
398,Lyon,1,71,479176,2021,1,0,4.0,high
399,Paris,1,94,828105,2011,0,0,3.2,medium
400,Marseille,2,147,377261,2007,1,1,3.0999999999999996,low
401,Paris,2,79,767108,2011,0,0,3.5,medium
402,Paris,1,87,1061103,2017,0,0,4.0,high
403,Lyon,2,72,217195,2018,1,0,3.3,low
404,Marseille,2,84,418499,2007,0,1,3.0,medium
405,Marseille,2,130,688519,2018,1,0,4.199999999999999,high
406,Paris,2,78,949116,2022,0,0,4.3,high
407,Paris,1,37,359828,2017,0,0,3.2,medium
408,Paris,2,91,1100403,2020,1,0,4.1,medium
409,Paris,1,28,321460,2021,0,0,3.7,high
410,Paris,1,52,433213,2007,0,0,2.9000000000000004,medium
411,Paris,1,20,293284,2014,0,0,3.4000000000000004,high
412,Marseille,1,82,382947,2008,1,1,3.3,medium
413,Lyon,3,126,761650,2015,1,0,3.8,medium
414,Lyon,2,119,522976,2020,1,1,4.1,low
415,Paris,2,70,908743,2013,0,0,4.0,high
416,Paris,1,71,704477,2020,0,0,3.5,medium
417,Lyon,3,122,602553,2014,0,1,4.0,medium
418,Lyon,1,97,632645,2009,1,0,3.7,high
419,Lyon,2,50,340177,2020,0,0,4.0,high
420,Lyon,1,75,491954,2022,0,0,3.7,high
421,Paris,1,49,463650,2009,0,0,3.2,medium
422,Lyon,1,58,274475,2008,0,0,2.9000000000000004,medium
423,Marseille,3,106,479758,2021,0,0,3.8999999999999995,high
424,Marseille,2,84,571188,2021,1,0,3.8999999999999995,high
425,Paris,1,50,443785,2015,0,0,3.2,medium
426,Lyon,2,63,512524,2017,0,0,4.0,high
427,Marseille,3,145,532262,2005,0,0,2.8,medium
428,Marseille,2,105,346446,2017,1,1,3.6999999999999993,low
429,Paris,2,78,1025697,2024,1,0,4.6,high
430,Lyon,1,59,361622,2012,1,0,3.2,medium
431,Lyon,3,103,576045,2023,1,0,4.1,medium
432,Lyon,1,82,603640,2022,0,0,3.7,high
433,Lyon,1,50,139152,2017,1,0,3.0,low
434,Lyon,1,50,294871,2014,0,0,3.4000000000000004,high
435,Marseille,3,123,581929,2019,1,1,4.199999999999999,medium
436,Paris,1,65,846706,2021,0,0,4.0,high
437,Marseille,2,88,330200,2007,1,1,2.8,low
438,Marseille,2,115,286552,2021,1,1,3.6999999999999993,low
439,Marseille,2,60,272753,2018,0,0,3.5999999999999996,high
440,Lyon,3,112,602846,2014,0,1,4.0,medium
441,Paris,2,64,762509,2020,0,0,4.3,high
442,Marseille,1,86,265151,2007,1,0,1.9999999999999998,low
443,Lyon,2,85,605815,2020,1,0,4.3,high
444,Lyon,1,50,220208,2011,1,0,3.2,medium
445,Lyon,2,50,223179,2005,0,0,2.9000000000000004,medium
446,Marseille,1,87,371617,2008,0,1,3.0,medium
447,Lyon,2,114,429653,2009,0,0,3.0,low
448,Lyon,1,91,241305,2015,1,0,2.7,low
449,Paris,1,24,278257,2013,0,0,3.4000000000000004,high
450,Paris,2,73,742882,2015,1,0,3.8,medium
451,Lyon,2,52,371999,2006,0,0,3.4000000000000004,high
452,Marseille,2,126,629268,2024,1,1,4.199999999999999,medium
453,Marseille,2,134,330480,2010,0,0,2.5999999999999996,low
454,Marseille,3,167,863074,2013,0,0,3.5999999999999996,high
455,Marseille,2,60,261814,2018,0,0,3.0999999999999996,medium
456,Paris,2,73,610372,2005,0,0,3.2,medium
457,Marseille,2,85,399552,2013,1,0,3.0999999999999996,medium
458,Lyon,2,58,351156,2022,0,0,4.0,high
459,Marseille,2,60,224334,2006,0,0,2.5,medium
460,Paris,2,54,792172,2024,0,0,4.3,high
461,Marseille,2,73,312227,2010,1,0,3.0999999999999996,medium
462,Lyon,3,114,598538,2016,1,0,4.1,medium
463,Lyon,2,69,471873,2017,0,0,4.0,high
464,Lyon,1,70,258701,2007,0,0,2.1000000000000005,low
465,Paris,1,31,263686,2017,0,0,3.2,medium
466,Lyon,3,150,1317782,2019,1,0,4.6,high
467,Paris,2,89,1503624,2020,0,0,1.8,scam
468,Lyon,2,84,699269,2010,0,1,4.2,high
469,Lyon,2,88,360695,2006,0,0,2.9000000000000004,medium
470,Paris,1,57,504762,2010,0,0,3.2,medium
471,Lyon,1,73,298151,2009,1,0,2.7,low
472,Marseille,3,115,346188,2007,1,0,2.5999999999999996,low
473,Lyon,2,118,1051886,2024,1,0,4.6,high
474,Paris,1,76,928695,2014,0,0,3.7,high
475,Lyon,2,66,389346,2016,0,0,4.0,high
476,Marseille,3,153,681672,2022,0,1,3.8999999999999995,medium
477,Paris,2,86,795549,2010,0,0,3.5,medium
478,Lyon,1,64,273407,2010,0,0,2.9000000000000004,medium
479,Marseille,3,105,316981,2013,0,0,3.0999999999999996,medium
